# phi u x y
69.55 1 0.906886 0.421376
69.65 1 0.860288 0.509808
69.75 1 0.805094 0.593147
69.85 1 0.741856 0.670559
69.95 1 0.671206 0.741271
70.05 1 0.593849 0.804576
70.15 1 0.510559 0.859843
70.25 1 0.422167 0.906518
70.35 1 0.329557 0.944136
70.45 1 0.233655 0.97232
70.55 1 0.135417 0.990789
70.65 1 0.035827 0.999358
70.75 1 -0.0641213 0.997942
70.85 1 -0.163429 0.986555
70.95 1 -0.261104 0.965311
71.05 1 -0.356169 0.934421
71.15 1 -0.447677 0.894196
71.25 1 -0.534711 0.845035
71.35 1 -0.616402 0.787432
71.45 1 -0.691935 0.72196
71.55 1 -0.760554 0.649275
71.65 1 -0.821573 0.570103
71.75 1 -0.874384 0.485234
71.85 1 -0.918459 0.395517
71.95 1 -0.953356 0.301849
72.05 1 -0.978728 0.205164
72.15 1 -0.99432 0.106429
72.25 1 -0.999978 0.00663098
72.35 1 -0.995644 -0.0932334
72.45 1 -0.981362 -0.192166
72.55 1 -0.957275 -0.289179
72.65 1 -0.923623 -0.383302
72.75 1 -0.880742 -0.473596
72.85 1 -0.829062 -0.559157
72.95 1 -0.769097 -0.639132
73.05 1 -0.701448 -0.71272
73.15 1 -0.626791 -0.779188
73.25 1 -0.54587 -0.83787
73.35 1 -0.459496 -0.88818
73.45 1 -0.36853 -0.929616
73.55 1 -0.273882 -0.961763
73.65 1 -0.176498 -0.984301
73.75 1 -0.07735 -0.997004
73.85 1 0.0225707 -0.999745
73.95 1 0.122266 -0.992497
74.05 1 0.22074 -0.975333
74.15 1 0.317008 -0.948423
74.25 1 0.410108 -0.912037
74.35 1 0.499111 -0.866538
74.45 1 0.583127 -0.812381
74.55 1 0.661317 -0.750107
74.65 1 0.732899 -0.680338
74.75 1 0.797158 -0.603771
74.85 1 0.853452 -0.521172
74.95 1 0.901218 -0.433365
75.05 1 0.93998 -0.341229
75.15 1 0.96935 -0.245682
75.25 1 0.989035 -0.147682
75.35 1 0.998837 -0.048205
75.45 1 0.99866 0.0517532
75.55 1 0.988504 0.151194
75.65 1 0.968471 0.249125
75.75 1 0.938762 0.344566
75.85 1 0.899673 0.436564
75.95 1 0.851595 0.524201
76.05 1 0.795008 0.6066
76.15 1 0.730477 0.682937
