# phi u x y
31.7952 0.814873 1.13997 0.454369
31.8756 0.778152 1.15167 0.570193
31.9557 0.743024 1.1545 0.691705
32.0354 0.709695 1.14723 0.81811
32.1147 0.678356 1.12865 0.948305
32.1936 0.649175 1.09758 1.08083
32.2722 0.622303 1.05298 1.21387
32.3503 0.597872 0.993997 1.3452
32.4282 0.575994 0.920108 1.47226
32.5056 0.556762 0.831192 1.5922
32.5827 0.540254 0.727634 1.70196
32.6595 0.526526 0.610395 1.79848
32.7361 0.515625 0.481042 1.87879
32.8124 0.507579 0.341733 1.94027
32.8885 0.502409 0.195143 1.98082
32.9645 0.500123 0.0443453 1.99902
33.0405 0.500723 -0.107356 1.99422
33.1165 0.504203 -0.256614 1.96666
33.1925 0.51055 -0.400231 1.91735
33.2687 0.519743 -0.535332 1.84805
33.345 0.531755 -0.659502 1.76113
33.4216 0.546544 -0.770882 1.65936
33.4985 0.56406 -0.868203 1.54572
33.5757 0.584235 -0.950781 1.42328
33.6532 0.606989 -1.01847 1.29496
33.731 0.632222 -1.07156 1.16345
33.8093 0.659817 -1.11072 1.03114
33.8879 0.689641 -1.13687 0.900059
33.9668 0.721539 -1.1511 0.771853
34.0462 0.755339 -1.15459 0.647818
34.1259 0.790851 -1.14852 0.528921
34.2061 0.827868 -1.13409 0.415844
34.2865 0.866166 -1.11239 0.309025
34.3674 0.905508 -1.08445 0.208706
34.4486 0.94564 -1.05122 0.11497
34.5301 0.986299 -1.01351 0.027782
34.612 1.02721 -0.972065 -0.052984
34.6941 1.0681 -0.927518 -0.127516
34.7766 1.10867 -0.880417 -0.196042
34.8594 1.14864 -0.83123 -0.258817
34.9424 1.18772 -0.780353 -0.316107
35.0257 1.22562 -0.728118 -0.368178
35.1092 1.26206 -0.674802 -0.415292
35.193 1.29676 -0.620635 -0.457697
35.2769 1.32946 -0.565802 -0.495631
35.361 1.3599 -0.510457 -0.529308
35.4454 1.38786 -0.454721 -0.558928
35.5298 1.4131 -0.398692 -0.584668
35.6144 1.43542 -0.342446 -0.606683
35.6992 1.45466 -0.286042 -0.625109
35.784 1.47065 -0.229524 -0.64006
35.8689 1.48327 -0.172927 -0.65163
35.9539 1.49241 -0.116276 -0.659889
36.0389 1.498 -0.0595893 -0.66489
36.124 1.5 -0.00288174 -0.666663
36.2091 1.49837 0.0538338 -0.665217
36.2941 1.49314 0.110545 -0.660543
36.3792 1.48435 0.167237 -0.652608
36.4642 1.47206 0.223891 -0.641363
36.5491 1.45638 0.280484 -0.626733
36.634 1.43743 0.336981 -0.608625
36.7187 1.41535 0.393339 -0.586924
36.8034 1.39033 0.449501 -0.561493
36.8879 1.36256 0.50539 -0.532174
36.9723 1.33226 0.560911 -0.498787
37.0565 1.29966 0.615943 -0.461132
37.1405 1.26501 0.670334 -0.418989
37.2243 1.22859 0.723899 -0.372117
37.3079 1.19066 0.776409 -0.320263
37.3912 1.15152 0.827587 -0.26316
37.4743 1.11144 0.877101 -0.200534
37.5572 1.07073 0.924553 -0.132112
37.6397 1.02967 0.969472 -0.0576332
37.722 0.988562 1.01131 0.0231415
37.8039 0.947684 1.04941 0.110409
37.8856 0.907317 1.08305 0.204302
37.9668 0.867729 1.11138 0.304867
38.0478 0.829179 1.13345 0.412025
38.1284 0.79191 1.14821 0.525539
38.2086 0.756152 1.15455 0.644971
38.2884 0.722118 1.15125 0.769631
38.3678 0.690003 1.13711 0.89854
38.4469 0.659984 1.11091 1.03038
38.5256 0.632219 1.07156 1.16346
38.6039 0.606848 1.01811 1.29572
38.6819 0.583989 0.949919 1.42472
38.7594 0.563743 0.866688 1.54771
38.8367 0.546193 0.768606 1.66171
38.9136 0.531405 0.656407 1.76361
38.9902 0.519427 0.531428 1.8504
39.0666 0.510294 0.395607 1.91931
39.1428 0.504031 0.251436 1.96801
39.2189 0.500651 0.101855 1.9948
39.2949 0.500156 -0.0498992 1.99875
39.3708 0.502544 -0.200473 1.97975
39.4468 0.507805 -0.34659 1.93852
39.5229 0.515921 -0.485234 1.87656
39.5992 0.526868 -0.613802 1.79602
39.6757 0.540608 -0.730217 1.69954
39.7525 0.557096 -0.832984 1.59004
39.8295 0.576271 -0.921202 1.47059
39.9069 0.598057 -0.994526 1.34416
39.9846 0.622362 -1.0531 1.21357
40.0627 0.649076 -1.09745 1.0813
40.1412 0.678071 -1.12841 0.949543
40.22 0.709201 -1.14703 0.820074
40.2992 0.742301 -1.15445 0.694325
40.3788 0.777187 -1.15187 0.573383
40.4588 0.813658 -1.14048 0.458034
40.5392 0.851498 -1.12141 0.348802
40.6199 0.890472 -1.09572 0.245999
40.7009 0.930335 -1.0644 0.149764
40.7823 0.970826 -1.0283 0.0601019
40.8641 1.01168 -0.98819 -0.0230819
40.9461 1.05261 -0.94475 -0.099954
41.0285 1.09333 -0.898559 -0.17073
41.1111 1.13357 -0.850113 -0.235657
41.194 1.17302 -0.799835 -0.294997
41.2772 1.2114 -0.74808 -0.349017
41.3607 1.24842 -0.695145 -0.397981
41.4443 1.28382 -0.641277 -0.442145
41.5282 1.31731 -0.586677 -0.481749
41.6123 1.34863 -0.53151 -0.517017
41.6965 1.37756 -0.47591 -0.548155
41.7809 1.40385 -0.419982 -0.575347
41.8655 1.42731 -0.363811 -0.598758
41.9502 1.44774 -0.30746 -0.618532
42.035 1.46498 -0.250981 -0.63479
42.1199 1.47889 -0.194411 -0.647633
42.2048 1.48936 -0.137778 -0.657141
42.2898 1.4963 -0.0811028 -0.663374
42.3749 1.49967 -0.0244016 -0.666369
42.46 1.49941 0.0323124 -0.666145
42.545 1.49555 0.0890267 -0.662698
42.6301 1.4881 0.145728 -0.656006
42.7151 1.47713 0.202399 -0.646024
42.8001 1.46272 0.259018 -0.632688
42.885 1.445 0.315556 -0.615913
42.9698 1.42409 0.371973 -0.59559
43.0545 1.40016 0.428217 -0.571592
43.139 1.37341 0.48422 -0.543768
43.2235 1.34404 0.539893 -0.511948
43.3077 1.31228 0.595127 -0.475937
43.3918 1.27838 0.649781 -0.435524
43.4757 1.2426 0.703684 -0.390475
43.5594 1.20521 0.756624 -0.340543
43.6428 1.1665 0.808344 -0.285463
43.726 1.12674 0.858532 -0.224965
43.809 1.08623 0.906818 -0.158775
43.8916 1.04527 0.952758 -0.086624
43.974 1.00415 0.995834 -0.00826412
44.0561 0.96315 1.03544 0.0765196
44.1378 0.922557 1.07086 0.167888
44.2192 0.882643 1.10131 0.265923
44.3003 0.843669 1.12587 0.370598
44.381 0.805886 1.14354 0.48174
44.4614 0.769529 1.15321 0.598992
44.5413 0.734817 1.15371 0.721767
44.6209 0.701951 1.14383 0.8492
44.7001 0.671117 1.12234 0.980104
44.779 0.64248 1.0881 1.11294
44.8574 0.616185 1.0401 1.24578
44.9355 0.59236 0.977559 1.37632
45.0132 0.571112 0.900041 1.50194
45.0906 0.552531 0.807539 1.61971
45.1676 0.536688 0.700572 1.72656
45.2444 0.523638 0.580247 1.81943
45.3209 0.513423 0.448275 1.89542
45.3971 0.506069 0.306948 1.95203
45.4732 0.501594 0.159051 1.98729
45.5492 0.500004 0.00772826 1.99997
45.6252 0.501299 -0.143688 1.98964
45.7012 0.505471 -0.291869 1.9567
45.7772 0.512507 -0.43368 1.90239
45.8534 0.522383 -0.566347 1.82861
45.9298 0.535068 -0.687582 1.73784
46.0065 0.55052 -0.795665 1.63293
46.0834 0.568683 -0.889474 1.5169
46.1607 0.589488 -0.968457 1.39277
46.2383 0.612849 -1.03258 1.26345
46.3162 0.638663 -1.08224 1.13154
