# z  qspline(z)  sin(z)  qspline'(z)  cos(z)  qspline_integ(z)  1-cos(z)
4.482 -1.06564 -0.973578 -0.232605 -0.228356 1.20904 1.22836
4.5 -1.06955 -0.97753 -0.202122 -0.210796 1.18982 1.2108
4.518 -1.07292 -0.981166 -0.171639 -0.193167 1.17054 1.19317
4.536 -1.07573 -0.984484 -0.141156 -0.175476 1.1512 1.17548
4.554 -1.078 -0.987483 -0.110673 -0.157728 1.13182 1.15773
4.572 -1.07971 -0.990162 -0.0801894 -0.139928 1.1124 1.13993
4.59 -1.08088 -0.99252 -0.0497064 -0.122084 1.09295 1.12208
4.608 -1.0815 -0.994556 -0.0192233 -0.104199 1.07349 1.1042
4.626 -1.08158 -0.996271 0.0112598 -0.0862816 1.05402 1.08628
4.644 -1.0811 -0.997662 0.0417429 -0.0683357 1.03455 1.06834
4.662 -1.08007 -0.998731 0.072226 -0.0503677 1.0151 1.05037
4.68 -1.0785 -0.999476 0.102709 -0.0323833 0.995675 1.03238
4.698 -1.07638 -0.999896 0.133192 -0.0143885 0.976281 1.01439
4.716 -1.0737 -0.999993 0.163675 0.00361101 0.956929 0.996389
4.734 -1.07048 -0.999766 0.194158 0.0216093 0.937631 0.978391
4.752 -1.06671 -0.999216 0.224641 0.0396007 0.918395 0.960399
4.77 -1.0624 -0.998341 0.255124 0.0575792 0.899232 0.942421
4.788 -1.05753 -0.997143 0.285608 0.075539 0.880152 0.924461
4.806 -1.05211 -0.995622 0.316091 0.0934744 0.861164 0.906526
4.824 -1.04615 -0.993778 0.346574 0.111379 0.842279 0.888621
4.842 -1.03964 -0.991612 0.377057 0.129248 0.823506 0.870752
4.86 -1.03258 -0.989125 0.40754 0.147076 0.804856 0.852924
4.878 -1.02497 -0.986318 0.438023 0.164855 0.786337 0.835145
4.896 -1.01681 -0.983191 0.468506 0.182581 0.76796 0.817419
4.914 -1.0081 -0.979745 0.498989 0.200248 0.749735 0.799752
4.932 -0.998844 -0.975982 0.529472 0.21785 0.731672 0.78215
4.95 -0.989039 -0.971903 0.559955 0.235381 0.71378 0.764619
4.968 -0.978685 -0.967509 0.590438 0.252837 0.69607 0.747163
4.986 -0.967783 -0.962801 0.620921 0.27021 0.678551 0.72979
5.004 -0.956345 -0.957782 0.64491 0.287496 0.661233 0.712504
5.022 -0.944726 -0.952452 0.646165 0.304688 0.644123 0.695312
5.04 -0.933083 -0.946814 0.647421 0.321782 0.627223 0.678218
5.058 -0.921418 -0.940869 0.648676 0.338772 0.610532 0.661228
5.076 -0.909731 -0.934619 0.649932 0.355651 0.594052 0.644349
5.094 -0.898021 -0.928066 0.651188 0.372416 0.577782 0.627584
5.112 -0.886288 -0.921212 0.652443 0.38906 0.561723 0.61094
5.13 -0.874533 -0.91406 0.653699 0.405578 0.545876 0.594422
5.148 -0.862755 -0.906612 0.654955 0.421964 0.53024 0.578036
5.166 -0.850954 -0.898871 0.65621 0.438214 0.514817 0.561786
5.184 -0.839131 -0.890838 0.657466 0.454322 0.499606 0.545678
5.202 -0.827286 -0.882516 0.658721 0.470283 0.484608 0.529717
5.22 -0.815417 -0.873908 0.659977 0.486091 0.469824 0.513909
5.238 -0.803527 -0.865018 0.661233 0.501742 0.455253 0.498258
5.256 -0.791613 -0.855847 0.662488 0.51723 0.440897 0.48277
5.274 -0.779677 -0.846398 0.663744 0.53255 0.426755 0.46745
5.292 -0.767718 -0.836676 0.664999 0.547699 0.412829 0.452301
5.31 -0.755737 -0.826682 0.666255 0.562669 0.399118 0.437331
5.328 -0.743733 -0.816421 0.667511 0.577457 0.385622 0.422543
5.346 -0.731707 -0.805895 0.668766 0.592059 0.372343 0.407941
5.364 -0.719658 -0.795108 0.670022 0.606468 0.359281 0.393532
5.382 -0.707586 -0.784063 0.671278 0.620681 0.346436 0.379319
5.4 -0.695492 -0.772764 0.672533 0.634693 0.333808 0.365307
5.418 -0.683375 -0.761215 0.673789 0.648499 0.321398 0.351501
5.436 -0.671235 -0.74942 0.675044 0.662095 0.309207 0.337905
5.454 -0.659073 -0.737381 0.6763 0.675477 0.297234 0.324523
5.472 -0.646888 -0.725104 0.677556 0.688639 0.28548 0.311361
5.49 -0.634681 -0.712592 0.678811 0.701579 0.273946 0.298421
5.508 -0.622451 -0.699848 0.680067 0.714291 0.262632 0.285709
5.526 -0.610199 -0.686879 0.681322 0.726772 0.251538 0.273228
5.544 -0.597924 -0.673686 0.682578 0.739018 0.240665 0.260982
5.562 -0.585626 -0.660275 0.683834 0.751024 0.230013 0.248976
5.58 -0.573306 -0.646651 0.685089 0.762786 0.219583 0.237214
5.598 -0.560963 -0.632817 0.686345 0.774302 0.209374 0.225698
5.616 -0.548597 -0.618777 0.687601 0.785566 0.199388 0.214434
5.634 -0.536209 -0.604538 0.688856 0.796577 0.189625 0.203423
5.652 -0.523798 -0.590102 0.690112 0.807329 0.180085 0.192671
5.67 -0.511365 -0.575475 0.691367 0.817819 0.170768 0.182181
5.688 -0.498909 -0.560662 0.692623 0.828045 0.161676 0.171955
5.706 -0.486431 -0.545667 0.693879 0.838002 0.152808 0.161998
5.724 -0.473929 -0.530496 0.695134 0.847688 0.144164 0.152312
5.742 -0.461406 -0.515152 0.69639 0.857099 0.135746 0.142901
5.76 -0.448859 -0.499642 0.697645 0.866232 0.127554 0.133768
5.778 -0.43629 -0.48397 0.698901 0.875085 0.119587 0.124915
5.796 -0.423699 -0.468141 0.700157 0.883654 0.111847 0.116346
5.814 -0.411085 -0.45216 0.701412 0.891937 0.104334 0.108063
5.832 -0.398448 -0.436033 0.702668 0.899931 0.0970485 0.100069
5.85 -0.385789 -0.419764 0.703924 0.907633 0.0899904 0.0923667
5.868 -0.373107 -0.40336 0.705179 0.915042 0.0831603 0.0849584
5.886 -0.360402 -0.386824 0.706435 0.922153 0.0765586 0.0778466
5.904 -0.347675 -0.370164 0.70769 0.928967 0.0701859 0.0710335
5.922 -0.334925 -0.353383 0.708946 0.935479 0.0640425 0.0645214
5.94 -0.322153 -0.336488 0.710202 0.941688 0.0581287 0.0583124
5.958 -0.309358 -0.319484 0.711457 0.947592 0.0524451 0.0524085
5.976 -0.296541 -0.302377 0.712713 0.953188 0.046992 0.0468116
5.994 -0.283701 -0.285171 0.713968 0.958477 0.0417698 0.0415235
6.012 -0.270811 -0.267874 0.719715 0.963454 0.036779 0.0365459
6.03 -0.257784 -0.250489 0.727708 0.968119 0.0320214 0.0318805
6.048 -0.244613 -0.233023 0.7357 0.972471 0.0274996 0.0275288
6.066 -0.231299 -0.215482 0.743693 0.976508 0.0232162 0.0234922
6.084 -0.21784 -0.197871 0.751686 0.980228 0.0191737 0.0197719
6.102 -0.204238 -0.180196 0.759678 0.983631 0.0153748 0.0163692
6.12 -0.190492 -0.162462 0.767671 0.986715 0.011822 0.0132852
6.138 -0.176602 -0.144676 0.775663 0.989479 0.00851796 0.0105209
6.156 -0.162568 -0.126843 0.783656 0.991923 0.00546521 0.00807715
6.174 -0.14839 -0.108968 0.791648 0.994045 0.00266637 0.0059548
6.192 -0.134069 -0.091059 0.799641 0.995845 0.000124017 0.0041545
6.21 -0.119603 -0.07312 0.807633 0.997323 -0.00215925 0.00267685
6.228 -0.104994 -0.0551573 0.815626 0.998478 -0.00418084 0.00152232
6.246 -0.0902408 -0.0371767 0.823618 0.999309 -0.00593817 0.000691294
6.264 -0.0753438 -0.0191841 0.831611 0.999816 -0.00742865 0.000184032
6.282 -0.0603028 -0.00118531 0.839604 0.999999 -0.00864968 7.02476e-07
6.3 -0.045118 0.0168139 0.847596 0.999859 -0.00959869 0.000141364
6.318 -0.0297894 0.0348077 0.855589 0.999394 -0.0102731 0.00060597
6.336 -0.0143169 0.0527901 0.863581 0.998606 -0.0106702 0.00139437
6.354 0.00129954 0.0707555 0.871574 0.997494 -0.0107876 0.00250631
6.372 0.0170598 0.088698 0.879566 0.996059 -0.0106226 0.00394143
6.39 0.0329639 0.106612 0.887559 0.994301 -0.0101726 0.00569927
